book_name,website,d3js,r,c,stan,optimization,stata,dashboard,spss,shell,linux,regression,dimension,forecast,algorithm,nonparametric,sql,python,nosql,postgresql,ruby,scala,java,perl,shiny,php,sampling,html5,tableau,markdown,hadoop,mapreduce,sas,matlab,excel,ppt,spark,julia,aws,mongodb,javascript,hbase,pig,hive,zookeeper,deep learning,classify,bayes,gis,machine learning,survival,multilevel,data mining,linear,visualization,predict,analytic,design,nlp,recommend,supervised,unsupervised,cluster,model,hierarchical,etl,vision,time_series,github,google+,bigdata
D3.js By Example,http://www.amazon.com/D3-js-Example-Michael-Heydt/dp/1785280082/ref=sr_1_1?ie=UTF8&qid=1461639390&sr=8-1&keywords=D3.js+By+Example,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZooKeeper: Distributed Process Coordination,http://www.amazon.com/ZooKeeper-Distributed-Coordination-Flavio-Junqueira-ebook/dp/B00GRCODKS/ref=sr_1_2?ie=UTF8&qid=1461639403&sr=8-2&keywords=ZooKeeper+data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Machine Learning in Python,http://www.amazon.com/Machine-Learning-Python-Techniques-Predictive/dp/1118961749/ref=sr_1_1?ie=UTF8&qid=1461639420&sr=8-1&keywords=Machine+Learning+in+Python,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,
Nonparametric Statistics for Applied Research,http://www.amazon.com/Nonparametric-Statistics-Applied-Research-Linebach/dp/1461490405/ref=sr_1_1?ie=UTF8&qid=1461639428&sr=8-1&keywords=Nonparametric+Statistics+for+Applied+Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beginning SQL Queries,http://www.amazon.com/Beginning-SQL-Queries-Professional-Professionals/dp/1590599438/ref=sr_1_1?ie=UTF8&qid=1461639438&sr=8-1&keywords=Beginning+SQL+Queries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
An Introduction to Time Series Analysis and Forecasting,http://www.amazon.com/Introduction-Analysis-Forecasting-Probability-Statistics/dp/1118745116/ref=sr_1_1?ie=UTF8&qid=1461639449&sr=8-1&keywords=An+Introduction+to+Time+Series+Analysis+and+Forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
Tableau Your Data!,http://www.amazon.com/Tableau-Your-Data-Analysis-Software/dp/1119001196/ref=sr_1_1?ie=UTF8&qid=1461639458&sr=8-1&keywords=Tableau+Your+Data%21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Professional NoSQL,http://www.amazon.com/Professional-NoSQL-Shashank-Tiwari/dp/047094224X/ref=sr_1_1?ie=UTF8&qid=1461639469&sr=8-1&keywords=Professional+NoSQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PostgreSQL: Up and Running,http://www.amazon.com/PostgreSQL-Practical-Introduction-Advanced-Database/dp/1449373194/ref=sr_1_1?ie=UTF8&qid=1461639478&sr=8-1&keywords=PostgreSQL%3A+Up+and+Running,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Statistical Rethinking: A Bayesian Course with Examples in R and Stan ,http://www.amazon.com/Statistical-Rethinking-Bayesian-Examples-Chapman/dp/1482253445/ref=sr_1_1?ie=UTF8&qid=1461639487&sr=8-1&keywords=Statistical+Rethinking%3A+A+Bayesian+Course+with+Examples+in+R+and+Stan,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
The Ruby Programming Language,http://www.amazon.com/Ruby-Programming-Language-David-Flanagan/dp/0596516177/ref=sr_1_1?ie=UTF8&qid=1461639499&sr=8-1&keywords=The+Ruby+Programming+Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scala for Data Science,http://www.amazon.com/Scala-Data-Science-Pascal-Bugnion/dp/1785281372/ref=sr_1_1?ie=UTF8&qid=1461639507&sr=8-1&keywords=Scala+for+Data+Science,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Data Science with Java,http://www.amazon.com/Data-Science-Java-Practical-Scientists/dp/1491934115/ref=sr_1_1?ie=UTF8&qid=1461639516&sr=8-1&keywords=Data+Science+with+Java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Mastering Perl,http://www.amazon.com/Mastering-Perl-brian-d-foy/dp/144939311X/ref=sr_1_1?ie=UTF8&qid=1461639525&sr=8-1&keywords=Mastering+Perl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Learning Shiny,http://www.amazon.com/Learning-Shiny-Hernan-G-Resnizky/dp/1785280902/ref=sr_1_1?ie=UTF8&qid=1461639533&sr=8-1&keywords=Learning+Shiny,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
Data Structures and Algorithm Analysis in C++,http://www.amazon.com/Data-Structures-Algorithm-Analysis-C/dp/013284737X/ref=sr_1_1?ie=UTF8&qid=1461639544&sr=8-1&keywords=Data+Structures+and+Algorithm+Analysis+in+C%2B%2B,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning Spark,http://www.amazon.com/Learning-Spark-Lightning-Fast-Data-Analysis/dp/1449358624/ref=sr_1_1?ie=UTF8&qid=1461639553&sr=8-1&keywords=Learning+Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instant Markdown,http://www.amazon.com/Instant-Markdown-Arturo-Herrero-ebook/dp/B00ESX181A/ref=sr_1_1?ie=UTF8&qid=1461639565&sr=8-1&keywords=Instant+Markdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATLAB For Dummies,http://www.amazon.com/MATLAB-Dummies-Jim-Sizemore/dp/111882010X/ref=sr_1_1?ie=UTF8&qid=1461639574&sr=8-1&keywords=MATLAB+For+Dummies,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Analytics Using SAS Enterprise Guide and SAS Enterprise Miner,http://www.amazon.com/Business-Analytics-Using-Enterprise-Guide/dp/1612907830/ref=sr_1_1?ie=UTF8&qid=1461639585&sr=8-1&keywords=Business+Analytics+Using+SAS+Enterprise+Guide+and+SAS+Enterprise+Miner,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIS for Web Developers,http://www.amazon.com/GIS-Web-Developers-Adding-Applications/dp/0974514098/ref=sr_1_1?ie=UTF8&qid=1461639594&sr=8-1&keywords=GIS+for+Web+Developers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Data Warehouse ETL Toolkit,http://www.amazon.com/Data-WarehouseETL-Toolkit-Techniques-Extracting/dp/0764567578/ref=sr_1_1?ie=UTF8&qid=1461639604&sr=8-1&keywords=The+Data+Warehouse+ETL+Toolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Natural Language Processing with Java,http://shop.oreilly.com/product/9781784391799.do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Google+, GitHub, and More",http://www.amazon.com/Mining-Social-Web-Facebook-LinkedIn/dp/1449367615/ref=sr_1_1?ie=UTF8&qid=1461639618&sr=8-1&keywords=Mining+the+Social+Web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Survival Analysis Using SAS,http://shop.oreilly.com/product/9781599946405.do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fundamentals of Deep Learning,http://shop.oreilly.com/product/0636920039709.do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro Apache Hadoop,http://www.amazon.com/Pro-Apache-Hadoop-Jason-Venner/dp/1430248637/ref=sr_1_5?ie=UTF8&qid=1461638637&sr=8-5&keywords=hadoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R for Data Science ,http://www.amazon.com/R-Data-Science-Hadley-Wickham/dp/1491910399/ref=sr_1_1?ie=UTF8&qid=1461639709&sr=8-1&keywords=R+for+Data+Science,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapreduce Design Patterns,http://www.amazon.com/Baker-and-Taylor-26129174-Mapreduce/dp/B00E3TM8Z4/ref=sr_1_10?ie=UTF8&qid=1461638723&sr=8-10&keywords=mapreduce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsofta Powerpoint 2013,http://www.amazon.com/Microsofta-Powerpoint-2013-Roggenkamp-Spiral-bound/dp/B011YT6XQA/ref=sr_1_1?ie=UTF8&qid=1461639725&sr=8-1&keywords=Microsofta+Powerpoint+2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastering Julia - Tackle the Contemporary Challenges of Programming and Data Science with Julia,http://www.amazon.com/Mastering-Julia-Contemporary-Challenges-Programming-ebook/dp/B010T266RY/ref=sr_1_1?ie=UTF8&qid=1461638882&sr=8-1&keywords=data++julia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBase: The Definitive Guid,http://www.amazon.com/HBase-Definitive-Guide-Lars-George/dp/1449396100/ref=sr_1_2?ie=UTF8&qid=1461639001&sr=8-2&keywords=hbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Web Services in Action,http://www.amazon.com/Amazon-Services-Action-Andreas-Wittig/dp/1617292885/ref=sr_1_5?ie=UTF8&qid=1461638938&sr=8-5&keywords=aws+data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programming Pig,http://www.amazon.com/Programming-Pig-Alan-Gates/dp/1449302645/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Practical Hive: A Guide to Hadoop's Data Warehouse System,http://www.amazon.com/Practical-Hive-Hadoops-Warehouse-System/dp/1484202724/ref=sr_1_1?s=books&ie=UTF8&qid=1461639100&sr=1-1&keywords=data+hive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Data For Beginners,http://www.amazon.com/Big-Data-Beginners-Understanding-Performance-ebook/dp/B01CBGW8KA/ref=sr_1_1?ie=UTF8&qid=1461639748&sr=8-1&keywords=Big+Data+For+Beginners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,SUM,1,5,1,2,2,1,1,1,1,1,7,6,8,5,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,1,1,6,5,8,6,14,7,1,2,1,1,1,5,2,1,1,1,1,1,1
